0,3,0.15
14,3,0.15
28,1,0.05
42,4,0.2
56,3,0.15
70,3,0.15
84,3,0.15
98,2,0.1
112,3,0.15
126,5,0.25
140,6,0.3
154,6,0.3
168,5,0.25
182,3,0.15
196,3,0.15
210,1,0.05
224,0,0
238,0,0
252,0,0
266,0,0
280,0,0
294,0,0
308,0,0
322,6,0.3
336,5,0.25
350,5,0.25
364,5,0.25
378,5,0.25
392,5,0.25
406,5,0.25
420,0,0
434,0,0
448,0,0
462,0,0
476,0,0
490,0,0
504,0,0
518,0,0
532,0,0
546,0,0
560,2,0.1
574,0,0
588,0,0
602,0,0
616,2,0.1
630,2,0.1
644,2,0.1
658,2,0.1
672,2,0.1
686,3,0.15
700,3,0.15
714,2,0.1
728,2,0.1
742,2,0.1
756,2,0.1
770,3,0.15
784,1,0.05
798,3,0.15
812,3,0.15
826,3,0.15
840,0,0
854,4,0.2
868,5,0.25
882,3,0.15
896,6,0.3
910,6,0.3
924,0,0
938,0,0
952,0,0
966,0,0
980,0,0
994,0,0
1008,1,0.05
1022,0,0
1036,0,0
1050,0,0
1064,0,0
1078,0,0
1092,0,0
1106,0,0
1120,0,0
1134,0,0
1148,0,0
1162,0,0
1176,0,0
1190,0,0
1204,0,0
1218,0,0
1232,0,0
1246,0,0
1260,0,0
1274,0,0
1288,2,0.1
1302,6,0.3
1316,2,0.1
1330,0,0
1344,0,0
1358,0,0
1372,3,0.15
1386,1,0.05
1400,0,0
1414,0,0
1428,0,0
1442,0,0
1456,0,0
1470,0,0
1484,0,0
1498,0,0
1512,0,0
1526,0,0
1540,0,0
1554,0,0
1568,0,0
1582,0,0
1596,0,0
1610,0,0
1624,0,0
1638,0,0
1652,0,0
1666,0,0
1680,0,0
1694,0,0
1708,0,0
1722,0,0
1736,0,0
1750,0,0
1764,0,0
1778,0,0
1792,0,0
1806,0,0
1820,0,0
